BV,1463,BGY,1525,TIA,1190,,0,737
BV,1463,BLQ,1538,TIA,1190,,0,737
BV,1463,BRI,1501,CTA,1509,,0,737
BV,1463,BRI,1501,PMO,1512,,0,737
BV,1463,CTA,1509,BRI,1501,,0,737
BV,1463,CTA,1509,FCO,1555,,0,737
BV,1463,FCO,1555,CTA,1509,,0,737
BV,1463,FCO,1555,DME,4029,,0,737
BV,1463,FCO,1555,PMO,1512,,0,737
BV,1463,FCO,1555,TIA,1190,,0,737
BV,1463,PMO,1512,BRI,1501,,0,737
BV,1463,PMO,1512,FCO,1555,,0,737
BV,1463,TIA,1190,BGY,1525,,0,737
BV,1463,TIA,1190,BLQ,1538,,0,737
BV,1463,TIA,1190,FCO,1555,,0,737
BV,1463,DME,4029,FCO,1555,,0,737
